feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
-5.041716,4.278364,8.018991,7.633520,3.809940,7.140341,-4.938628,6.391755,-5.795164,5.485822,anomaly
0.206065,0.815277,0.195640,-0.076777,2.057774,1.800477,-0.833525,1.511541,-0.284839,-0.314692,normal
0.671300,-0.495695,-0.359253,-0.118610,-1.032794,-0.613131,0.755950,0.579081,-0.022092,1.231468,normal
1.053666,-0.172170,0.668152,-0.370179,0.318738,0.824459,-0.814911,-0.572409,0.820807,0.197365,normal
-1.343884,-0.606172,0.598015,-0.105796,-0.683425,0.084474,-0.660026,-0.254143,-0.444781,-0.575152,normal
0.641241,0.498021,1.110035,2.235641,-2.673095,-0.291066,-0.294878,-0.142833,-1.696785,0.342977,normal
-1.055104,-0.377885,-0.228780,-1.325879,0.421336,3.137928,-0.909828,-2.523895,1.139454,-1.026944,normal
-0.649237,-0.244776,1.113921,0.545916,0.475532,-0.758019,1.091504,-0.469211,-0.231405,-0.573572,normal
-0.980998,1.170033,-0.080292,-0.243265,0.298961,0.108311,-1.453207,-0.780614,0.335492,0.085394,normal
-1.165956,0.348365,-0.123493,1.312509,0.431769,0.688081,1.001521,-0.854521,-0.742721,-0.672989,normal
-0.154616,-2.774197,-1.644100,-1.532666,-0.217214,-1.632974,1.090246,-0.274144,-0.492166,1.321014,normal
-0.588451,0.630932,-1.099189,1.398216,0.355680,-1.420334,-0.579876,-0.418374,-0.848459,1.089170,normal
-0.752896,-2.359693,-0.955409,1.703030,0.092120,-1.031930,0.194410,-0.391251,0.148568,0.498523,normal
-4.398477,5.379566,4.454233,7.664266,5.326076,8.829384,-4.634758,6.594566,5.148461,-7.325102,anomaly
0.410829,-0.006807,-0.043716,1.695473,-1.024074,1.189593,-2.860311,-1.261634,-0.889526,0.565124,normal
0.403274,0.271697,-0.327198,-2.313619,-0.467604,0.868068,-0.983963,1.652726,1.404588,0.043900,normal
2.302491,-0.178640,-0.847081,-0.515755,-0.114857,-1.925950,-0.445201,0.040395,-0.527996,0.822910,normal
-0.221338,-0.549707,-0.457995,-1.938904,0.063786,0.997833,0.974390,0.362103,-1.160746,0.220291,normal
1.230625,-0.330852,0.728051,0.477912,0.683153,0.744426,-0.264985,1.881895,0.743529,1.197567,normal
0.944887,1.463283,-1.564065,0.262387,1.196421,-0.183538,0.593348,-0.112603,0.016171,0.209043,normal
-0.639739,0.614596,0.770448,-1.614974,0.100146,-0.226498,-0.273299,-0.457938,-0.393239,-0.955816,normal
0.344437,-0.084702,1.107962,0.596018,-0.053299,1.036681,-1.648529,-1.160404,0.793698,0.514085,normal
0.788379,0.445401,1.199342,0.701210,0.101365,0.499791,-0.433987,-0.049664,-0.068207,0.084636,normal
0.855620,0.981899,-0.635252,-1.573307,-0.636968,0.108805,1.163323,-0.863647,1.019948,-0.306890,normal
-0.891725,0.321986,-0.074751,0.599455,0.858548,-0.809271,-1.281217,2.570229,0.556064,0.129953,normal
1.206035,0.171144,-0.770317,-0.003390,-0.320873,-0.689133,-0.299883,-0.153284,-0.356643,0.463127,normal
-0.260495,-0.705384,0.865015,-0.201057,0.426370,0.588077,0.174404,0.662031,0.312838,0.835857,normal
-0.302561,-0.616311,1.004794,0.041509,0.611257,-0.311982,0.679932,0.301774,-0.710252,0.448958,normal
-1.025865,-0.314505,0.632523,-0.621559,-0.238476,1.668994,-1.329731,-1.556434,-0.255897,1.846342,normal
0.076088,-1.463213,2.137382,-0.716289,1.248264,-0.449914,0.147628,1.234722,-0.044896,-0.473391,normal
-5.630714,-5.905130,-6.434774,-5.115590,5.630692,7.284017,-6.690249,5.663145,4.489495,7.297657,anomaly
-1.378471,1.320622,0.613436,0.793038,0.193750,1.086353,-0.345706,-2.414965,-1.745342,-1.465013,normal
0.479154,-0.065284,-1.379293,0.581808,0.852750,-1.036610,-1.625671,-0.549483,-0.363384,-1.359055,normal
-0.927366,0.863507,0.321544,0.968171,1.802419,-0.211712,-0.399997,0.300938,1.048684,-0.079336,normal
-0.029961,-0.469099,0.863431,0.464353,0.749384,2.784582,0.585340,-0.461288,1.058996,1.568062,normal
-0.338111,-0.011769,-0.736995,0.484695,-0.774838,0.014390,-0.745241,-1.175495,-1.347639,-0.434359,normal
-1.524725,-0.073857,0.712512,1.638242,-0.107873,-1.084492,-1.992757,1.537259,0.587177,0.406227,normal
-0.878435,-0.979233,-0.317845,0.756839,-0.645871,-0.548782,-0.341597,-0.379672,0.421567,-0.916869,normal
-0.990589,-0.492530,-2.101691,1.077708,0.535744,0.547505,-0.585333,-1.816880,-0.721824,0.172378,normal
0.904142,0.546350,-1.427370,-0.120591,1.092558,0.785826,0.480725,-0.618581,0.085170,0.963032,normal
0.042297,-1.006494,1.298114,0.497082,-1.358347,3.470249,0.226592,-1.931971,-1.064447,-0.037195,normal
0.201044,-0.407506,-0.832951,1.238480,-0.692566,0.204710,-0.686790,-1.251114,1.246208,-1.130681,normal
0.406134,-0.045046,-1.813624,-1.397742,0.314543,-0.189172,-0.415235,1.236851,1.255512,0.612288,normal
1.619573,-0.230151,-0.001195,0.306923,-1.041711,0.719729,0.257009,0.168989,-0.720911,1.008040,normal
-0.272901,0.315888,1.451110,0.304498,-0.146791,0.014545,-0.729008,1.103912,0.669547,1.067747,normal
-0.158649,-2.050146,0.702916,1.718151,0.368572,-1.293554,1.054798,1.816982,0.482560,0.612932,normal
5.032914,6.083601,-7.423967,-3.297089,-7.084506,-8.461272,-6.886916,-6.793645,-9.061698,4.337378,anomaly
-0.696272,1.641522,2.584661,0.772135,0.115647,0.517243,-0.408811,-0.580515,-0.323880,0.069398,normal
-1.148510,-1.194102,1.543575,2.066766,0.203000,0.300935,-1.193152,-1.132967,-1.538727,-1.802103,normal
6.101038,4.351349,-7.056252,-6.613264,-4.260563,6.630744,5.757700,4.334192,6.248292,-5.437306,anomaly
4.114334,7.611356,-6.810316,-6.024992,-7.301940,5.361083,5.200798,8.544999,-6.663334,-6.962152,anomaly
-0.355436,1.737316,-0.574080,-1.975620,1.287930,0.029381,1.145157,0.226532,0.392309,-1.148212,normal
-1.313964,0.531639,-1.575502,-2.021316,0.128471,0.031189,0.162341,0.988779,-0.771673,0.689115,normal
-0.393804,-0.087457,-0.549815,1.743549,-0.992531,-0.568753,-0.217213,-0.194948,-1.187230,-0.408131,normal
0.751768,0.297680,0.037881,0.133717,1.142537,-0.571554,0.452901,0.635227,-0.434230,-0.227196,normal
